country,population,lifeexp,income,continent
Lebanon,6090000,80.5,13400,Asia
Lesotho,2260000,51.1,2960,Africa
Liberia,4850000,65.4,801,Africa
Libya,6470000,75.5,18300,Africa
Lithuania,2880000,75.3,30400,Europe
Luxembourg,590000,82.4,99000,Europe
"Macedonia, FYR",2090000,75.2,14000,Europe
Madagascar,26300000,63.4,1460,Africa
Malawi,19200000,61.0,1130,Africa
Malaysia,32000000,75.9,27200,Asia
Maldives,444000,80.1,13000,Asia
Mali,19100000,62.9,2020,Africa
Malta,432000,81.8,37900,Europe
Mauritania,4540000,70.6,3670,Africa
Mauritius,1270000,74.9,21000,Africa
Mexico,131000000,76.8,17300,Americas
"Micronesia, Fed. Sts.",106000,65.8,3410,Oceania
Moldova,4040000,72.4,5330,Europe
Mongolia,3120000,68.7,12100,Asia
Montenegro,629000,77.3,16600,Europe
Morocco,36200000,75.5,7720,Africa
Mozambique,30500000,61.1,1200,Africa
Myanmar,53900000,70.3,6100,Asia
Namibia,2590000,65.7,10500,Africa
Nepal,29600000,71.5,2420,Asia
Netherlands,17100000,81.9,48500,Europe
New Zealand,4750000,81.8,36400,Oceania
Nicaragua,6280000,78.7,5470,Americas
Niger,22300000,62.5,949,Africa
Nigeria,196000000,66.1,5570,Africa
North Korea,25600000,71.1,1390,Asia
Norway,5350000,82.4,64800,Europe
Oman,4830000,78.1,38900,Asia
Pakistan,201000000,68.0,5220,Asia
Palestine,5050000,72.2,2700,Asia
Panama,4160000,79.4,23400,Americas
Papua New Guinea,8420000,61.1,2800,Oceania
Paraguay,6900000,74.8,9280,Americas
Peru,32600000,80.2,12700,Americas
Philippines,107000000,70.5,7960,Asia
Poland,38100000,78.2,27700,Europe
Portugal,10300000,81.3,27900,Europe
Qatar,2690000,80.7,121000,Asia
Romania,19600000,75.5,23400,Europe
Russia,144000000,71.1,24800,Europe
Rwanda,12500000,68.3,1930,Africa
Samoa,198000,72.4,5950,Oceania
Sao Tome and Principe,209000,70.9,3190,Africa
Saudi Arabia,33600000,77.6,50100,Asia
Senegal,16300000,66.8,2570,Africa
Serbia,8760000,76.2,14800,Europe
Seychelles,95200,74.2,27500,Africa
Sierra Leone,7720000,60.0,1490,Africa
Singapore,5790000,84.0,83900,Asia
Slovak Republic,5450000,77.2,31400,Europe
Slovenia,2080000,81.1,30900,Europe
Solomon Islands,623000,63.6,2110,Oceania
Somalia,15200000,58.0,629,Africa
South Africa,57400000,63.5,12300,Africa
South Korea,51200000,81.3,36800,Asia
South Sudan,12900000,60.7,1820,Africa
Spain,46400000,83.2,34700,Europe
Sri Lanka,21000000,77.8,12400,Asia
St. Lucia,180000,76.6,10900,Americas
St. Vincent and the Grenadines,110000,72.0,11400,Americas
Sudan,41500000,68.8,4440,Africa
Suriname,568000,71.6,13200,Americas
Swaziland,1390000,58.6,7600,Africa
Sweden,9980000,82.4,47500,Europe
Switzerland,8540000,83.5,57100,Europe
Syria,18300000,69.8,2900,Asia
Tajikistan,9110000,72.2,2920,Asia
Tanzania,59100000,65.5,2780,Africa
Thailand,69200000,78.2,16900,Asia
Timor-Leste,1320000,73.3,1490,Asia
Togo,7990000,63.1,1480,Africa
Tonga,109000,70.7,5500,Oceania
Trinidad and Tobago,1370000,73.4,30300,Americas
Tunisia,11700000,78.0,11600,Africa
Turkey,81900000,79.6,24900,Asia
Turkmenistan,5850000,70.5,17900,Asia
Uganda,44300000,62.9,1820,Africa
Ukraine,44000000,72.3,8330,Europe
United Arab Emirates,9540000,76.9,68200,Asia
United Kingdom,66600000,81.2,40100,Europe
United States,327000000,79.1,54900,Americas
Uruguay,3470000,77.6,21300,Americas
Uzbekistan,32400000,70.5,6690,Asia
Vanuatu,282000,64.3,2900,Oceania
Venezuela,32400000,75.9,14200,Americas
Vietnam,96500000,74.9,6550,Asia
Yemen,28900000,67.1,2430,Asia
Zambia,17600000,59.5,3870,Africa
Zimbabwe,16900000,60.2,1950,Africa
